node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
17032,0.0,1.0,1.0,0.0,37017.0,37017.0
17033,1.0,0.0,1.0,21000.0,0.0,21000.0
17034,0.0,1.0,1.0,0.0,21000.0,21000.0
17035,1.0,0.0,1.0,21000.0,0.0,21000.0
17036,0.0,1.0,1.0,0.0,21000.0,21000.0
17037,1.0,0.0,1.0,21000.0,0.0,21000.0
17038,1.0,0.0,1.0,21000.0,0.0,21000.0
17039,0.0,1.0,1.0,0.0,21000.0,21000.0
17040,0.0,1.0,1.0,0.0,21000.0,21000.0
17041,1.0,0.0,1.0,36931.0,0.0,36931.0
17042,1.0,0.0,1.0,384128.0,0.0,384128.0
17043,1.0,0.0,1.0,46431.0,0.0,46431.0
17044,0.0,3.0,3.0,0.0,119921.0,119921.0
17045,1.0,0.0,1.0,98846.0,0.0,98846.0
17046,1.0,0.0,1.0,21000.0,0.0,21000.0
17047,0.0,1.0,1.0,0.0,21000.0,21000.0
17048,1.0,0.0,1.0,46609.0,0.0,46609.0
17049,0.0,3.0,3.0,0.0,132364.0,132364.0
17050,1.0,0.0,1.0,21000.0,0.0,21000.0
17051,1.0,0.0,1.0,446638.0,0.0,446638.0
17052,1.0,0.0,1.0,21000.0,0.0,21000.0
17053,0.0,1.0,1.0,0.0,21000.0,21000.0
17054,0.0,1.0,1.0,0.0,21000.0,21000.0
17055,0.0,1.0,1.0,0.0,21000.0,21000.0
17056,1.0,0.0,1.0,21000.0,0.0,21000.0
17057,1.0,0.0,1.0,21000.0,0.0,21000.0
17058,1.0,0.0,1.0,205628.0,0.0,205628.0
17059,1.0,0.0,1.0,109040.0,0.0,109040.0
17060,0.0,1.0,1.0,0.0,109040.0,109040.0
17061,0.0,1.0,1.0,0.0,46625.0,46625.0
17062,1.0,0.0,1.0,31109.0,0.0,31109.0
17063,1.0,0.0,1.0,21000.0,0.0,21000.0
17064,1.0,0.0,1.0,64697.0,0.0,64697.0
17065,0.0,1.0,1.0,0.0,64697.0,64697.0
